threshold,precision,recall,f1,tp,fp,fn,tn
0.73,1.0,0.25,0.4,17,0,51,1932
0.74,1.0,0.25,0.4,17,0,51,1932
0.75,1.0,0.25,0.4,17,0,51,1932
0.76,1.0,0.23529411764705882,0.38095238095238093,16,0,52,1932
0.77,1.0,0.23529411764705882,0.38095238095238093,16,0,52,1932
0.78,1.0,0.20588235294117646,0.34146341463414637,14,0,54,1932
0.79,1.0,0.17647058823529413,0.3,12,0,56,1932
0.8,1.0,0.17647058823529413,0.3,12,0,56,1932
0.81,1.0,0.16176470588235295,0.27848101265822783,11,0,57,1932
0.8200000000000001,1.0,0.16176470588235295,0.27848101265822783,11,0,57,1932
0.8300000000000001,1.0,0.16176470588235295,0.27848101265822783,11,0,57,1932
0.84,1.0,0.16176470588235295,0.27848101265822783,11,0,57,1932
0.85,1.0,0.14705882352941177,0.2564102564102564,10,0,58,1932
0.86,1.0,0.1323529411764706,0.23376623376623376,9,0,59,1932
0.87,1.0,0.1323529411764706,0.23376623376623376,9,0,59,1932
0.88,1.0,0.10294117647058823,0.18666666666666668,7,0,61,1932
0.89,1.0,0.10294117647058823,0.18666666666666668,7,0,61,1932
0.9,1.0,0.08823529411764706,0.16216216216216217,6,0,62,1932
0.91,1.0,0.07352941176470588,0.136986301369863,5,0,63,1932
0.92,1.0,0.058823529411764705,0.1111111111111111,4,0,64,1932
0.93,1.0,0.04411764705882353,0.08450704225352113,3,0,65,1932
0.9400000000000001,0.0,0.0,0.0,0,0,68,1932
0.9500000000000001,0.0,0.0,0.0,0,0,68,1932
0.96,0.0,0.0,0.0,0,0,68,1932
0.97,0.0,0.0,0.0,0,0,68,1932
0.98,0.0,0.0,0.0,0,0,68,1932
0.99,0.0,0.0,0.0,0,0,68,1932
1.0,0.0,0.0,0.0,0,0,68,1932
